ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
2368489144,Kaos Kaki Haji Tawaf Kaus Kaki Tawaf Sepatu Tawaf Anti Slip,Rp23.900,"7,7RB",Abu Sulthan Apparel,12%,Rp2.868,https://shopee.co.id/product/128932173/2368489144,https://s.shopee.co.id/2qEouVKFkL
23367440742,[Afluth Store] Gift Hajj And Umroh / Paket Oleh Oleh Haji dan Umroh / Golden Series,Rp12.500,"19,2RB",kurmaafluth,7%,Rp875,https://shopee.co.id/product/391906238/23367440742,https://s.shopee.co.id/30YF6oJcPO
5512409459,Kaos kaki tawaf putih Beludru / perlengkapan haji dan umroh,Rp21.400,"5,9RB",rev official,5%,Rp1.070,https://shopee.co.id/product/113208579/5512409459,https://s.shopee.co.id/3ArfJ7Iz4R
55816332,Celana Dalam Sekali Pakai/Disposable Underwear/CD Darurat/Perlengkapan Haji dan Umroh,Rp24.500,"17,9RB",nabawi.surabaya,6%,Rp1.470,https://shopee.co.id/product/8634114/55816332,https://s.shopee.co.id/4fgT5sDH1k
21981066717,Isi 10pcs Sajadah Mini Beludru Turkey 35x35cm/ Ar Rahman/ Souvenir Haji Umroh Tahlilan Pernikahan,Rp85.000,4RB,vizalla,4%,Rp3.400,https://shopee.co.id/product/18817132/21981066717,https://s.shopee.co.id/4pztIBCdgn
6711404449,Singlet Kantong Wanita Dalaman Gamis Perlengkapan Haji dan Umroh,Rp30.100,8RB,rev official,5%,Rp1.505,https://shopee.co.id/product/113208579/6711404449,https://s.shopee.co.id/50JJUUC0Lq
11397713064,oleh oleh haji dan umroh zamzam60ml,Rp9.500,"64,9RB",salsabila?,2%,Rp190,https://shopee.co.id/product/850797795/11397713064,https://s.shopee.co.id/5AcjgnBN0t
23129189726,Kaos Kaki Wudhu Wanita Panjang Perlengkapan Haji dan Umroh Hiban Store,Rp24.300,"4,5RB",hiban.store,12%,Rp2.916,https://shopee.co.id/product/137867791/23129189726,https://s.shopee.co.id/40QmIeFoNg
2153949132,GROSIR SAJADAH MURAH OLEH OLEH HAJI DAN UMROH,Rp17.900,"8,2RB",barokah4ever,5%,Rp895,https://shopee.co.id/product/13390578/2153949132,https://s.shopee.co.id/4AkCUxFB2j
19974836600,"Hampers Sajadah Travel Premium Motif Kiswah| Hampers Lebaran Idul Fitri | Hampers Ramadhan | Souvenir Pernikahan | Hampers Wedding, Hampers Kitanan | Hampers Umroh | Hampers Haji | Souvenir Tahlil | Hampers Idul Fitri Unik | Oleh - Oleh Haji dan Umroh",Rp99.400,"1,2RB",Alifa Azkiya Store,10%,Rp9.940,https://shopee.co.id/product/50586115/19974836600,https://s.shopee.co.id/4L3chGEXhm
23074726182,sarung tangan sholat haji dan umroh / sarung tangan haji wanita / sarung tangan umroh wanita,Rp16.900,"2,4RB",rades kid,8%,Rp1.352,https://shopee.co.id/product/146587664/23074726182,https://s.shopee.co.id/4VN2tZDuMp
18370618734,Sajadah Kecil Turki Beludru 35x60cm/ Gokkusagi/ Souvenir Haji Umroh Tahlilan Pernikahan,Rp10.650,"42,5RB",vizalla,4%,Rp426,https://shopee.co.id/product/18817132/18370618734,https://s.shopee.co.id/gAKKWSV96
4817747598,Sarung Tangan Kerut Panjang Hitam Bahan Katun Perlengkapan Haji Dan Umroh,Rp13.500,"16,6RB",alhafidzjakarta07,2%,Rp270,https://shopee.co.id/product/12119701/4817747598,https://s.shopee.co.id/qTkWpRro9
19270429448,Sepatu Tawaf Tinggi Kaos Kaki Tawaf Wanita Tinggi Perlengkapan Haji dan Umrah Wanita Premium,Rp40.040,"1,7RB",akses muslim,10%,Rp4.004,https://shopee.co.id/product/897066422/19270429448,https://s.shopee.co.id/10nAj8RETC
22448216727,Sajadah travel Quba Midi  /Souvenir Sajadah /Oleh Oleh Haji,Rp13.500,"8,3RB",makmur.tanahabang,2%,Rp270,https://shopee.co.id/product/33538554/22448216727,https://s.shopee.co.id/1B6avRQb8F
23700263763,HANDSOCK CINCIN RENDA BESAR / HANDSOCK RENDA TILE / HANDSOCK UMROH HAJI / HANDSOCK PENGANTIN,Rp16.500,"11,9RB",musask_id,3%,Rp495,https://shopee.co.id/product/7970666/23700263763,https://s.shopee.co.id/udXIV2V2
12496890475,PAKET SUPER HEMAT Oleh Oleh Haji Umroh Dus tali + zamzam + kurma + kacang arab + kismis,Rp6.500,"59,6RB",Berkahjayahaji,5%,Rp325,https://shopee.co.id/product/873934426/12496890475,https://s.shopee.co.id/BE3jbUPA5
19951041068,oleh oleh umroh / oleh oleh haji dan oleh oleh umroh / paket oleh oleh umroh/ oleh oleh umroh murah/ paketan oleh oleh umroh,Rp9.999,"136,9RB",tiffa_store,3%,Rp300,https://shopee.co.id/product/254399406/19951041068,https://s.shopee.co.id/LXTvuTlp8
18329555231,"HANDSOCK JARI RENDA , MANSET TANGAN ,MANSET UMROH DAN HAJI ,SARUNG TANGAN MANSET WANITA kode SJR 79",Rp24.900,"7,7RB",NR MOSLEM WEAR,7%,Rp1.743,https://shopee.co.id/product/127995321/18329555231,https://s.shopee.co.id/Vqu8DT8UB
55802936,Manset Tangan Haji Umroh Handsock Kaos Tangan Wanita Renda Polos/Perlengkapan Haji/Perlengkapan Umroh,Rp23.000,"14,3RB",nabawi.surabaya,6%,Rp1.380,https://shopee.co.id/product/8634114/55802936,https://s.shopee.co.id/20fhuyNQRU
12337143711,[1 PASANG] ORIGINAL KAOS KAKI SASHEE JEMPOL POLOS Kaos Kaki Wanita Hijab Muslimah Murah Termurah Murah Diskon Haji Umroh Warna Kulit Polos dll Size M Pendek Panjang Sebetis Nilon Nylon Pilihan Hitam Putih Krem Cream Sock Kaus Kaki Kauskaki Skin Series,Rp14.875,"21,6RB",Binar Official,7%,Rp1.041,https://shopee.co.id/product/10873434/12337143711,https://s.shopee.co.id/2Az87HMn6X
18180209965,Handsock Renda/ Handsock Cincin / Handsock Umroh Haji / Handsock Haji Umroh / Manset Cincin / Handsock Cincin / Handsock Ring / Manset Tangan / Handsock Muslimah / Handsock Wanita / Accecories Muslim / Manset Wanita / Manset Renda / Handsock Cincin Renda,Rp7.991,"12,9RB",Safa_Fashion,2%,Rp160,https://shopee.co.id/product/10481593/18180209965,https://s.shopee.co.id/2LIYJaM9la
23905930275,SAJADAH TRAVEL/SAJADAH SOUVENIR TAHLILAN/ SOUVENIR HAJI/ SOUVENIR AQIKAH DAN SOUVENIR PESTA FREE POUCH,Rp19.800,"1,1RB",Valerystore,4%,Rp792,https://shopee.co.id/product/38646995/23905930275,https://s.shopee.co.id/2VbyVtLWQd
14938337825,SAJADAH TRAVEL / SAJADAH SOUVENIR TAHLILAN / SOUVENIR HAJI / SOUVENIR AQIKAH DAN SOUVENIR PESTA FREE POUCH,Rp19.800,5RB,Valerystore,4%,Rp792,https://shopee.co.id/product/38646995/14938337825,https://s.shopee.co.id/1LQ17kPxnQ
10331116901,WUPOL -  Kaos Kaki Wudhu Jempol (Haji/Umroh) by KANIK,Rp15.900,"47,1RB",ainaka.shop,2%,Rp318,https://shopee.co.id/product/15685833/10331116901,https://s.shopee.co.id/1VjRK3PKST
19948307713,"Miqot Paket Travel Kit 1 Full (UMROH & HAJI), FREE POUCH BAG PREMIUM + BOTOL SPRAY 100 ml",Rp215.000,850,Miqot Official Store,2.3%,Rp4.945,https://shopee.co.id/product/867598030/19948307713,https://s.shopee.co.id/1g2rWMOh7W
21381949092,Kaos Kaki Wudhu Jempol Anti Slip Ijtihad Kaos Kaki Wanita Perlengkapan Haji Umroh Wanita Muslimah,Rp16.999,"4,1RB",Rev Official Store,5%,Rp850,https://shopee.co.id/product/793669706/21381949092,https://s.shopee.co.id/1qMHifO3mZ
18731558857,"BEST SELLER SAJADAH KEPANG  , SOUVENIR HAJI UMROH , SAJADAH TURKEY",Rp22.000,"33,4RB",Putriary12,2%,Rp440,https://shopee.co.id/product/239403936/18731558857,https://s.shopee.co.id/8fCbrDy2uu
18690976872,Sarung Tangan Shalat Panjang Wanita Haji Dan Umroh,Rp26.199,"1,3RB",baju koko Rev,5%,Rp1.310,https://shopee.co.id/product/55090266/18690976872,https://s.shopee.co.id/8pW23WxPZx
14082037215,Raisma - Sepatu Tawaf Warna Acak Perlengkapan Umroh Haji Wanita,Rp30.000,4RB,Raisma Official Shop,2%,Rp600,https://shopee.co.id/product/68474322/14082037215,https://s.shopee.co.id/8zpSFpwmF0
22972563362,Sarung Tangan Haji Umroh Wanita Wanita Panjang Bahan Kaos / Perlengkapan Haji dan Umroh,Rp23.000,"4,1RB",rev official,5%,Rp1.150,https://shopee.co.id/product/113208579/22972563362,https://s.shopee.co.id/9A8sS8w8u3
18784105470,"Kaos Kaki Wudhu Umroh, Haji dan travelling pria dan wanita",Rp17.250,205,Adanu Aksamala,6%,Rp1.035,https://shopee.co.id/product/1034922746/18784105470,https://s.shopee.co.id/7zwv400aGq
23267685224,Handsock Cincin Renda Handsock Umroh dan haji Selengan,Rp19.500,992,Handsqob id,2%,Rp390,https://shopee.co.id/product/113090811/23267685224,https://s.shopee.co.id/8AGLGIzwvt
20304690875,SARUNG TANGAN HAJI UMROH PUTIH KATUN BORDIR PANJANG SARUNG TANGAN SHOLAT PELINDUNG TANGAN MUKENA TELEKUNG RUKUH ALAT MURAH,Rp25.000,"2,4RB",BUTIK.IZZAH,3%,Rp750,https://shopee.co.id/product/38617484/20304690875,https://s.shopee.co.id/8KZlSbzJaw
17998886464,Paket Pouch | Paket Oleh-Oleh Haji dan Umroh,Rp45.000,176,TOKO RINDU MEKKAH,13%,Rp5.850,https://shopee.co.id/product/137916540/17998886464,https://s.shopee.co.id/8UtBeuygFz
8118331900,ABA agenbaju SAJADAH TRAVEL -SOUVENIR-SAJADAH UMROH  | SAJADAH TRAVELING JUMBO - OLEH OLEH HAJI - HADIAH - SOUVERNIR - 40 harian- pesantren(READY STOCK),Rp9.999,"860,4RB",Agen Baju Official,7%,Rp700,https://shopee.co.id/product/18387484/8118331900,https://s.shopee.co.id/9zhzRfsyDI
22768455263,Paket Oleh Oleh Haji dan Umroh Murah dan Komplit (PAHE19&20),Rp11.900,39RB,kurmakuu.ID ,5%,Rp595,https://shopee.co.id/product/982447831/22768455263,https://s.shopee.co.id/AA1PdysKsL
526267040,Sajadah Tenun Shenille Murah Souvenir Haji Umroh / travel,Rp24.900,"35,6RB",makmur.tanahabang,2%,Rp498,https://shopee.co.id/product/33538554/526267040,https://s.shopee.co.id/AKKpqHrhXO
